Highest Offense Description,Highest Offense Code,Zip Code,frequency
SEXUAL ASSAULT W/ OBJECT,1700,78721,46
AGG SEXUAL ASSAULT CHILD/OBJEC,1712,78721,46
FORCED SODOMY,1716,78704,46
KIDNAPPING,2800,78741,46
CRIMINAL TRESPASS/TRANSIENT,2721,78719,46
AGG ASSAULT FAM/DATE VIOLENCE,402,78756,46
DOC ABUSE OR THREAT,2404,78701,46
DOC EXPOSURE,2411,78759,46
MURDER,100,78758,46
INJURY TO ELDERLY PERSON,2012,78741,46
DOC DISCHARGE GUN - PUB ROAD,2410,78753,46
THEFT CATALYTIC CONVERTER,620,78703,46
BURGLARY OF VEH-NO SUSPECT/FU,601,78724,46
THEFT-NO SUSPECT/FOLLOWUP,600,78701,46
POSS OF FIREARM BY FELON,1502,78748,45
RETALIATION,3104,78704,45
THEFT OF BICYCLE,609,78754,45
DRIVING WHILE INTOX / FELONY,2109,78722,45
ROBBERY BY THREAT,305,78751,45
DAMAGE CITY PROP,3817,78735,45
AGG ASLT W/MOTOR VEH FAM/DAT V,406,78752,45
FORGERY BY MAKING,1003,78751,45
THEFT OF AUTO PARTS,604,78726,45
EVADING VEHICLE,2724,78757,45
VOCO - ALCOHOL  CONSUMPTION,3211,78759,45
THEFT OF METAL,619,78751,45
CIVIL DISTURBANCE/DEMO,3402,78758,45
THEFT OF TRAILER,613,78750,45
PAROLE VIOL,3113,78745,45
PROTECTIVE ORDER,3829,78703,45
DOC ABUSIVE LANGUAGE,2401,78745,45
CAMPING IN PARK,3214,78735,45
AIRPORT - BREACH OF SECURITY,1110,78719,45
VIOL OF EMERG PROTECTIVE ORDER,3008,78750,45
SOLICITATION - BEGGING,2501,78702,45
POSS CONTROLLED SUB/OTHER,1802,78724,45
DRIVING WHILE INTOX / FELONY,2109,78727,45
GRAFFITI,1402,78729,45
FORGERY BY MAKING,1003,78702,45
VIOL CITY ORDINANCE - WRECKER,3720,78752,45
TOBACCO VIOL - AGE 17,2608,78745,45
FEDERAL VIOL/OTHER,4205,78758,45
FAILURE TO REG AS SEX OFFENDER,1799,78745,45
STATUTORY RAPE OF CHILD,208,78752,45
RAPE OF A CHILD,204,78704,45
INDECENCY WITH A CHILD/CONTACT,1709,78747,45
STALKING,2710,78705,45
IMPERSONATING PUBLIC SERVANT,2905,78741,45
ASSAULT BY THREAT FAM/DATING,901,78750,45
AGG ASLT STRANGLE/SUFFOCATE,410,78660,45
AGG ROBBERY BY ASSAULT,302,78702,45
POSS CONTROLLED SUB/OTHER,1802,78705,45
CRUELTY TO ANIMALS,2717,78729,45
RECKLESS DAMAGE,1401,78752,45
MAIL THEFT,8503,78721,45
SEXUAL ASSAULT OF CHILD/OBJECT,1707,78701,44
SEXUAL ASSAULT OF CHILD/OBJECT,1707,78757,44
POSS/PROMO CHILD PORNOGRAPHY,2605,78701,44
ONLINE IMPERSONATION,2733,78741,44
PROWLER,3414,78744,44
AGG ROBBERY BY ASSAULT,302,78758,44
VIOL STATE LAW - OTHER,3399,78750,44
AGG ROBBERY BY ASSAULT,302,78753,44
UNLAWFUL CARRYING WEAPON,1500,78727,44
POSS CONTROLLED SUB/OTHER,1802,78751,44
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,504,78731,44
DATING DISTURBANCE,2400,78613,44
AGG ASSAULT,402,78726,44
VIOL OF EMERG PROTECTIVE ORDER,3008,78729,44
POSS CONTROLLED SUB/SYN NARC,1801,78721,44
VIOL STATE LAW - OTHER,3399,78749,44
COUNTERFEITING,1006,78724,44
CHILD CUSTODY INTERFERE,2001,78660,44
HARASSMENT OF A PUBLIC SERVANT,2731,78745,44
CRED CARD ABUSE BY FORGERY,1005,78747,44
CAMPING IN PARK,3214,78757,44
FELONY ENHANCEMENT/ASSLT W/INJ,909,78729,44
LIQUOR LAW VIOLATION/OTHER,2208,78722,44
AGG ASSAULT,402,78717,44
FAILURE TO IDENTIFY,2707,78731,44
CRIMINAL TRESPASS/HOTEL,2722,78758,44
ROBBERY BY ASSAULT,303,78727,44
DOC DISCHARGE GUN - PUB PLACE,2408,78721,44
THEFT OF AUTO PARTS,604,78703,44
DWI - CHILD PASSENGER,2108,78752,44
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,504,78617,44
THEFT OF METAL,619,78729,44
CRED CARD ABUSE - OTHER,1106,78730,44
FRAUD DESTRUCTION OF A WRITING,1007,78753,44
URINATING IN PUBLIC PLACE,3212,78757,44
THEFT OF SERVICE,608,78726,44
DOC FIGHTING,2406,78748,44
BOMB THREAT,2701,78704,43
CRASH/FAIL STOP AND RENDER AID,3604,78746,43
SOLICITATION - BEGGING,2501,78752,43
DRIVING WHILE INTOX / FELONY,2109,78754,43
RECKLESS DAMAGE,1401,78757,43
THEFT OF SERVICE,608,78747,43
TRADEMARK COUNTERFEITING,1111,78754,43
ROBBERY BY THREAT,305,78757,43
TOBACCO VIOL - UNDER AGE 17,2607,78704,43
VIOL CITY ORDINANCE - WRECKER,3720,78749,43
ROBBERY BY THREAT,305,78759,43
CAMPING IN PARK,3214,78748,43
PAROLE VIOL,3113,78704,43
INJURY DISABLED INDIVIDUAL,2013,78753,43
VIOL STATE LAW - OTHER,3399,78719,43
FEDERAL VIOL/OTHER,4205,78702,43
DUMPING REFUSE NEAR HIGHWAY,3306,78723,43
CRIMINAL TRESPASS/HOTEL,2722,78723,43
BURGLARY OF COIN-OP MACHINE,602,78731,43
VIOL CITY ORDINANCE - WRECKER,3720,78757,43
VIOL CITY ORDINANCE - DOG,3200,78747,43
PROBATION VIOL,3114,78744,43
ROBBERY BY ASSAULT,303,78613,43
FALSE STATEMENT -OBTAIN CREDIT,1105,78704,43
TOBACCO VIOL - UNDER AGE 17,2607,78723,43
DOC EXPOSURE,2411,78757,43
POSS OF ALCOHOL-AGE 16 & UNDER,2200,78741,43
FAILURE TO IDENTIFY,2707,78754,43
RECKLESS DAMAGE,1401,78751,43
AGG RAPE,202,78741,43
AGG SEXUAL ASSAULT CHILD/OBJEC,1712,78724,43
INDECENCY WITH CHILD/EXPOSURE,1710,78744,43
ONLINE IMPERSONATION,2733,78744,43
THEFT CATALYTIC CONVERTER,620,78724,43
PROBATION VIOL,3114,78758,43
FRAUD - OTHER,1199,78719,43
RAPE,200,78756,42
RAPE OF A CHILD,204,78745,42
FORCED SODOMY,1716,78745,42
INJ TO ELDERLY   FAM/DATE VIOL,2012,78741,42
PROWLER,3414,78704,42
INJURY TO CHILD (CARE/CUSTODY),2011,78749,42
AGG ASSAULT FAM/DATE VIOLENCE,402,78735,42
AGG ASSAULT FAM/DATE VIOLENCE,402,78731,42
INJURY DISABLED INDIVIDUAL,2013,78701,42
PUBLIC LEWDNESS,1705,78702,42
THEFT FROM PERSON,610,78703,42
FAILURE TO IDENTIFY,2707,78729,42
DEADLY CONDUCT,408,78747,42
AGG ROBBERY BY ASSAULT,302,78701,42
POSS CONTROLLED SUB/NARCOTIC,1800,78726,42
DATING DISTURBANCE,2400,78736,42
BURGLARY OF VEH-NO SUSPECT/FU,601,78721,42
FAILURE TO IDENTIFY,2707,78750,42
ASSAULT BY THREAT,901,78613,42
MANF CONTROLLED SUB - OTHER,1820,78701,42
VOCO AMPLIFIED MUSIC/VEHICLE,3218,78757,42
LITTERING,3216,78751,42
POSS/PROMO CHILD PORNOGRAPHY,2605,78744,42
ASSAULT BY THREAT,901,78730,42
BURGLARY OF VEHICLE,601,78652,42
THEFT CATALYTIC CONVERTER,620,78717,42
CRUELTY TO ANIMALS,2717,78731,42
RENTAL CAR/FAIL TO RETURN,621,78704,42
THEFT OF LICENSE PLATE,614,78613,42
VIOL OF COURT ORDER-NON EPO-PO,2008,78731,42
RECKLESS DAMAGE,1401,78748,42
FORGERY - OTHER,1099,78746,42
FALSE ALARM OR REPORT,2700,78752,42
THEFT OF TRAILER,613,78746,42
DWI 2ND,2102,78617,42
THEFT OF METAL,619,78724,42
TERRORISTIC THREAT,2704,78736,42
FAILURE TO IDENTIFY,2707,78756,42
RETALIATION,3104,78752,42
STALKING,2710,78724,42
DAMAGE CITY PROP,3817,78722,41
CRED CARD ABUSE - OTHER,1106,78719,41
AGG RAPE OF A CHILD,206,78745,41
RAPE OF A CHILD,204,78752,41
FORCED SODOMY,1716,78758,41
ASSAULT  CONTACT-SEXUAL NATURE,902,78759,41
RAPE,200,78617,41
INDECENCY WITH A CHILD/CONTACT,1709,78729,41
UNLAWFUL RESTRAINT,2805,78741,41
INJ TO ELDERLY   FAM/DATE VIOL,2012,78744,41
PUBLIC LEWDNESS,1705,78704,41
FALSE ALARM OR REPORT,2700,78759,41
THEFT FROM BUILDING,617,78724,41
ASSAULT W/INJURY-FAM/DATE VIOL,900,78728,41
DAMAGE CITY VEHICLE,3832,78753,41
BREACH OF COMPUTER SECURITY,1109,78757,41
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,504,78726,41
DRIVING WHILE INTOX / FELONY,2109,78705,41
POSS CONTROLLED SUB/OTHER,1802,78759,41
THEFT CATALYTIC CONVERTER,620,78660,41
DWI  .15 BAC OR ABOVE,2111,78660,41
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,504,78756,41
IMPERSONATING PUBLIC SERVANT,2905,78704,41
THEFT OF AUTO PARTS,604,78717,41
VIOL CITY ORDINANCE - CURFEW,3213,78750,41
MURDER,100,78723,41
GAMBLING,1900,78741,41
THEFT OF TRAILER,613,78703,41
VIOL CITY ORDINANCE - DOG,3200,78731,41
INJURY TO CHILD (CARE/CUSTODY),2011,78757,41
THEFT,600,78652,41
FALSE STATEMENT -OBTAIN CREDIT,1105,78744,41
CRIMINAL TRESPASS/TRANSIENT,2721,78731,41
PROTECTIVE ORDER,3829,78660,41
VIOL OF PARK CURFEW,3217,78705,41
VIOL OF PROTECTIVE ORDER,3009,78722,41
CRASH/FAIL STOP AND RENDER AID,3604,78747,41
ASSAULT BY THREAT FAM/DATING,901,78729,41
ARSON,800,78759,41
CHILD ENDANGERMENT- ABANDONMEN,2010,78726,41
PROWLER,3414,78758,41
FAILURE TO IDENTIFY,2707,78617,41
DOC UNREASONABLE NOISE,2405,78757,41
CRED CARD ABUSE BY FORGERY,1005,78739,41
FORGERY BY MAKING,1003,78749,41
THEFT OF AUTO PARTS,604,78747,41
PROTECTIVE ORDER,3829,78705,41
THEFT OF AUTO PARTS,604,78735,41
TOBACCO VIOL - UNDER AGE 17,2607,78753,41
DOC ABUSIVE LANGUAGE,2401,78705,41
RETALIATION,3104,78745,41
STALKING,2710,78703,41
MAIL THEFT,8503,78701,40
TAMPERING WITH GOV RECORD,2904,78701,40
TOBACCO VIOL - AGE 17,2608,78741,40
DEADLY CONDUCT,408,78727,40
VIOL OF COURT ORDER-NON EPO-PO,2008,78701,40
DOC DISPLAY GUN/DEADLY PUB PLC,2409,78724,40
DWI - DRUG RECOGNITION EXPERT,2103,78702,40
CRUELTY TO ANIMALS,2717,78735,40
VIOL STATE LAW - OTHER,3399,78756,40
FORGERY AND PASSING,1000,78736,40
PAROLE VIOL,3113,78723,40
POSS CONTROLLED SUB/OTHER,1802,78748,40
DUMPING REFUSE NEAR HIGHWAY,3306,78721,40
CIVIL DISTURBANCE/DEMO,3402,78752,40
WARRANT ARREST NON TRAFFIC,3442,78726,40
HARASSMENT ONLINE,2732,78741,40
VIOL CITY ORDINANCE - DOG,3200,78727,40
COUNTERFEITING,1006,78705,40
OBTAIN CONTROLLED SUB BY FRAUD,1808,78756,40
DWI,2100,78653,40
ROBBERY BY ASSAULT,303,78729,40
VIOL CITY ORDINANCE - WRECKER,3720,78759,40
DEL CONTROLLED SUB/NARCOTIC,1804,78757,40
INDECENCY WITH A CHILD/CONTACT,1709,78735,40
INVASIVE VISUAL RECORDING,2609,78741,40
INVASIVE VISUAL RECORDING,2609,78701,40
INVASIVE VISUAL RECORDING,2609,78753,40
INDECENT ASSAULT,1724,78701,40
ATT BURGLARY OF RESIDENCE,501,78741,40
INDECENT EXPOSURE,1706,78727,40
IMPERSONATING PUBLIC SERVANT,2905,78753,40
AGG ASLT W/MOTOR VEH FAM/DAT V,406,78721,40
CRUELTY TO ANIMALS,2717,78722,40
FAILURE TO IDENTIFY,2707,78749,40
THEFT CATALYTIC CONVERTER,620,78617,40
FALSE ALARM OR REPORT,2700,78724,39
INDECENCY WITH A CHILD/CONTACT,1709,78751,39
STATUTORY RAPE OF CHILD,208,78724,39
RAPE,200,78726,39
POSS/PROMO CHILD PORNOGRAPHY,2605,78758,39
ASSAULT BY THREAT,901,78739,39
AGG ASLT STRANGLE/SUFFOCATE,410,78756,39
PUBLIC LEWDNESS,1705,78741,39
ASSAULT BY CONTACT,902,78712,39
FAMILY DISTURBANCE/PARENTAL,3458,78705,39
POSS OF FIREARM BY FELON,1502,78759,39
BURGLARY OF VEH-NO SUSPECT/FU,601,78726,39
ASSAULT BY THREAT FAM/DATING,901,78731,39
MAIL THEFT,8503,78726,39
DWI 2ND,2102,78726,39
INJURY TO CHILD (CARE/CUSTODY),2011,78727,39
CRIMINAL TRESPASS/TRANSIENT,2721,78617,39
DWI - DRUG RECOGNITION EXPERT,2103,78752,39
FORGERY - OTHER,1099,78703,39
THEFT OF METAL,619,78749,39
THEFT FROM PERSON,610,78617,39
TOBACCO VIOL - UNDER AGE 17,2607,78758,39
AGG ASSAULT WITH MOTOR VEH,406,78757,39
SOLICITATION - BEGGING,2501,78758,39
COUNTERFEITING,1006,78746,39
EXPLOSIVE ORDNANCE DISPOSAL,1505,78704,39
ROBBERY BY ASSAULT,303,78756,39
VIOL OF PROTECTIVE ORDER,3009,78746,39
BREACH OF COMPUTER SECURITY,1109,78702,39
EVADING / VEHICLE PURSUIT,2728,78724,39
BURGLARY OF VEH-NO SUSPECT/FU,601,78613,39
BURGLARY OF SHED/DETACHED GARAGE/STORAGE UNIT,504,78746,39
WARRANT ARREST NON TRAFFIC,3442,78725,39
FEDERAL VIOL/OTHER,4205,78731,39
VIOL CITY ORDINANCE - CURFEW,3213,78703,39
VIOL CITY ORDINANCE - CURFEW,3213,78747,39
EXPLOSIVE ORDNANCE DISPOSAL,1505,78758,38
TERRORISTIC THREAT,2704,78725,38
DOC UNREASONABLE NOISE,2405,78703,38
INDECENCY WITH CHILD/EXPOSURE,1710,78741,38
STATUTORY RAPE OF CHILD,208,78721,38
INDECENCY WITH CHILD/EXPOSURE,1710,78745,38
POSS/PROMO CHILD PORNOGRAPHY,2605,78704,38
INDECENT EXPOSURE,1706,78721,38
AGG ASSAULT WITH MOTOR VEH,406,78751,38
VOCO - ALCOHOL  CONSUMPTION,3211,78746,38
TERRORISTIC THREAT-FAM/DAT VIO,2704,78747,38
FELONY ENHANCEMENT/ASSLT W/INJ,909,78747,38
UNLAWFUL CARRYING WEAPON,1500,78750,38
ONLINE IMPERSONATION,2733,78748,38
ASSAULT WITH INJURY,900,78739,38
CRIMINAL MISCHIEF-NO SUSPECT,1400,78752,38
POSS CONTROLLED SUB/OTHER,1802,78757,38
BURGLARY OF RESIDENCE,500,78613,38
THEFT BY SHOPLIFTING,607,78617,38
AGG ROBBERY/DEADLY WEAPON,300,78746,38
INJURY TO CHILD,2011,78727,38
DEADLY CONDUCT,408,78757,38
CRASH/INTOXICATION ASSAULT,2105,78741,38
URINATING IN PUBLIC PLACE,3212,78703,38
POSS DANG DRUG,1810,78705,38
MAIL THEFT,8503,78724,38
POSS SYNTHETIC MARIJUANA,1825,78752,38
THEFT OF BICYCLE,609,78617,38
INJURY DISABLED INDIVIDUAL,2013,78741,38
INJURY TO CHILD (CARE/CUSTODY),2011,78759,38
INJURY DISABLED INDIVIDUAL,2013,78702,38
TERRORISTIC THREAT-FAM/DAT VIO,2704,78751,38
EXPLOSIVE ORDNANCE DISPOSAL,1505,78702,38
VIOL CITY ORDINANCE - OTHER,3299,78617,38
CRIMINAL MISCHIEF BY ARSON,802,78702,38
CRIMINAL TRESPASS/TRANSIENT,2721,78746,38
BURGLARY OF COIN-OP MACHINE,602,78756,38
AGG ASSAULT ON PUBLIC SERVANT,403,78701,38
THEFT OF TRAILER,613,78726,38
VOCO SOLICITATION PROHIBIT,3296,78705,38
INTER EMERG PHONECALL FAM/DATE,2712,78704,38
ASSAULT ON PUBLIC SERVANT,903,78721,37
DEADLY CONDUCT,408,78705,37
ASSAULT BY CONTACT FAM/DATING,902,78736,37
UNLAWFUL CARRYING WEAPON,1500,78722,37
FORGERY AND PASSING,1000,78739,37
EVADING / FOOT,2723,78759,37
THEFT BY EMBEZZLEMENT,1200,78753,37
EVADING VEHICLE,2724,78722,37
WARRANT ARREST NON TRAFFIC,3442,78736,37
GAMBLING,1900,78754,37
DUI - AGE 17 TO 20,2107,78723,37
ARSON,800,78705,37
DOC DISCHARGE GUN - PUB PLACE,2408,78704,37
DOC DISPLAY GUN/DEADLY PUB PLC,2409,78721,37
EXPLOSIVE ORDNANCE DISPOSAL,1505,78731,37
HINDER SECURED CREDITORS,2907,78751,37
TOBACCO VIOL - UNDER AGE 17,2607,78701,37
POSSESSION OF MARIJUANA,1803,78613,37
DOC UNREASONABLE NOISE,2405,78752,37
OBTAIN CONTROLLED SUB BY FRAUD,1808,78754,37
HARASSMENT ONLINE,2732,78745,37
THEFT FROM PERSON,610,78729,37
UNLAWFUL CARRYING WEAPON,1500,78731,37
HARASSMENT OF A PUBLIC SERVANT,2731,78702,37
RAPE,200,78750,37
ONLINE IMPERSONATION,2733,78701,37
RAPE OF A CHILD,204,78724,37
SEXUAL ASSAULT W/ OBJECT,1700,78724,37
RAPE,200,78703,37
SEXUAL ASSAULT OF CHILD/OBJECT,1707,78750,37
POSS/PROMO CHILD PORNOGRAPHY,2605,78753,37
POSSESSION OF MARIJUANA,1803,78712,37
THEFT CATALYTIC CONVERTER,620,78747,37
DWI  .15 BAC OR ABOVE,2111,78756,37
DOC DISPLAY GUN/DEADLY PUB PLC,2409,78759,37
BREACH OF COMPUTER SECURITY,1109,78754,37
ASSAULT BY CONTACT,902,78736,37
INTERFERING W/EMERG PHONE CALL,2712,78741,37
FEDERAL VIOL/OTHER,4205,78723,37
VIOL STATE LAW - OTHER,3399,78729,37
INVASIVE VISUAL RECORDING,2609,78758,36
INDECENCY WITH A CHILD/CONTACT,1709,78754,36
AGG SEXUAL ASSAULT CHILD/OBJEC,1712,78748,36
AGG RAPE,202,78753,36
INDECENT EXPOSURE,1706,78750,36
INDECENT ASSAULT,1724,78741,36
ONLINE IMPERSONATION,2733,78759,36
AGG ASLT STRANGLE/SUFFOCATE,410,78703,36
PROSTITUTION,1600,78757,36
ASSAULT BY CONTACT,902,78725,36
POSS OF FIREARM BY FELON,1502,78751,36
VIOL OF EMERG PROTECTIVE ORDER,3008,78754,36
MURDER,100,78752,36
ROBBERY BY ASSAULT,303,78754,36
AGG ROBBERY/DEADLY WEAPON,300,78660,36
DWI  .15 BAC OR ABOVE,2111,78617,36
BREACH OF COMPUTER SECURITY,1109,78705,36
CIVIL DISTURBANCE/DEMO,3402,78741,36
BURGLARY OF VEH-NO SUSPECT/FU,601,78756,36
THEFT FROM BUILDING,617,78717,36
NUISANCE ABATEMENT,1824,78723,36
GRAFFITI,1402,78736,36
VIOL CITY ORDINANCE - WRECKER,3720,78724,36
POSS OF DRUG PARAPHERNALIA,1818,78725,36
ROBBERY BY ASSAULT,303,78617,36
FEDERAL VIOL/OTHER,4205,78753,36
THEFT OF LICENSE PLATE,614,78719,36
VIOL OF COURT ORDER-NON EPO-PO,2008,78726,36
DWI  .15 BAC OR ABOVE,2111,78747,36
TAMPERING WITH GOV RECORD,2904,78741,36
FORGERY BY ALTERATION,1001,78744,36
DOC ABUSIVE LANGUAGE,2401,78748,36
DAMAGE CITY PROP,3817,78717,36
INTER EMERG PHONECALL FAM/DATE,2712,78745,36
ATT BURGLARY OF RESIDENCE,501,78753,36
THEFT- APPROPRIATE STOLEN PROP,1300,78702,36
FEDERAL VIOL/OTHER,4205,78744,36
DOC DISCHARGE GUN - PUB PLACE,2408,78748,36
FALSE REPORT TO PEACE OFFICER,2902,78724,36
POSS CONTROLLED SUB/NARCOTIC,1800,78613,36
INHALANT ABUSE,1821,78704,36
ATT BURGLARY OF RESIDENCE,501,78744,35
CRIMINAL TRESPASS/TRANSIENT,2721,78729,35
DOC UNREASONABLE NOISE,2405,78759,35
ASSAULT  CONTACT-SEXUAL NATURE,902,78757,35
IMMIGRATION HOLD/ARREST,4200,78741,35
TERRORISTIC THREAT,2704,78739,35
THEFT FROM PERSON,610,78754,35
INJURY DISABLED INDIVIDUAL,2013,78749,35
AGG ASLT W/MOTOR VEH FAM/DAT V,406,78704,35
BREACH OF COMPUTER SECURITY,1109,78750,35
BURG OF RES - FAM/DATING ASLT,500,78721,35
AGG ASLT ENHANC STRANGL/SUFFOC,411,78724,35
THEFT CATALYTIC CONVERTER,620,78613,35
INJ TO ELDERLY   FAM/DATE VIOL,2012,78704,35
PAROLE VIOL,3113,78758,35
POSS DANG DRUG,1810,78748,35
FEDERAL VIOL/OTHER,4205,78701,35
LIQUOR LAW VIOLATION/OTHER,2208,78703,35
SOLICITATION - BEGGING,2501,78741,35
THEFT OF BICYCLE,609,78747,35
VIOL STATE LAW - OTHER,3399,78746,35
FORGERY - OTHER,1099,78721,35
DEL CONTROLLED SUB/OTHER,1806,78702,35
FALSE STATEMENT -OBTAIN CREDIT,1105,78741,35
DRIVING WHILE INTOX / FELONY,2109,78747,35
MURDER,100,78744,35
INJ TO ELDERLY   FAM/DATE VIOL,2012,78721,35
TERRORISTIC THREAT,2704,78613,35
DUMPING REFUSE NEAR HIGHWAY,3306,78741,35
IMMIGRATION HOLD/ARREST,4200,78758,35
NUISANCE ABATEMENT,1824,78721,35
IMPERSONATING PUBLIC SERVANT,2905,78758,35
THEFT,600,78737,35
TERRORISTIC THREAT,2704,78730,35
LIQUOR LAW VIOLATION/OTHER,2208,78748,35
POSS OF FIREARM BY FELON,1502,78754,35
DOC FIGHTING,2406,78617,34
CRIMINAL TRESPASS/TRANSIENT,2721,78727,34
FAILURE TO IDENTIFY,2707,78746,34
SOLICITATION - BEGGING,2501,78744,34
CUSTODY ARREST TRAFFIC WARR,3722,78736,34
CHILD ENDANGERMENT- ABANDONMEN,2010,78747,34
CRIMINAL MISCHIEF,1400,78653,34
FEDERAL VIOL/OTHER,4205,78754,34
POSS DANG DRUG,1810,78751,34
VIOL GLASS CONTAINER,3210,78746,34
AGG ASSAULT ON PUBLIC SERVANT,403,78741,34
DAMAGE CITY VEHICLE,3832,78745,34
THEFT OF METAL,619,78727,34
CHILD CUSTODY INTERFERE,2001,78736,34
THEFT OF AUTO PARTS,604,78617,34
ATT BURGLARY OF RESIDENCE,501,78745,34
PROTECTIVE ORDER,3829,78746,34
CRIMINAL TRESPASS,2716,78742,34
FORGERY BY MAKING,1003,78703,34
POSS OF ALCOHOL - AGE 17 TO 20,2209,78721,34
VIOL CITY ORDINANCE - SMOKING,3297,78702,34
THEFT OF METAL,619,78660,34
VIOL OF PROTECTIVE ORDER,3009,78717,34
DEL CONTROLLED SUB/NARCOTIC,1804,78759,34
EVADING / FOOT,2723,78722,34
VIOL CITY ORDINANCE - OTHER,3299,78730,34
AGG ASSAULT,402,78742,34
GAMBLING,1900,78701,34
POSS CONTROLLED SUB/SYN NARC,1801,78748,34
INJ TO ELDERLY   FAM/DATE VIOL,2012,78753,34
FORCED SODOMY,1716,78751,34
FORCED SODOMY,1716,78702,34
AGG SEXUAL ASSAULT CHILD/OBJEC,1712,78727,34
INDECENT EXPOSURE,1706,78722,34
APPLIC TO REVOKE PROBATION,4003,78724,34
ASSAULT W/INJURY-FAM/DATE VIOL,900,78653,34
STALKING,2710,78731,34
PAROLE VIOL,3113,78752,34
FALSE REPORT TO PEACE OFFICER,2902,78721,34
UNLAWFUL RESTRAINT FAM/DAT VIO,2805,78741,34
DOC DISCHARGE GUN - PUB ROAD,2410,78702,34
VIOL OF EMERG PROTECTIVE ORDER,3008,78749,34
DAMAGE CITY VEHICLE,3832,78744,34
DWI  .15 BAC OR ABOVE,2111,78717,34
SEXUAL ASSAULT OF CHILD/OBJECT,1707,78705,33
DEPENDENT AND NEGLECTED CHILD,2006,78741,33
DISCLOSE/PROMO INTIMATE VISUAL,2610,78741,33
RAPE,200,78746,33
INDECENCY WITH CHILD/EXPOSURE,1710,78753,33
INJURY TO CHILD,2011,78749,33
RAPE,200,78747,33
INJURY TO CHILD,2011,78617,33
SEXUAL ASSAULT W/ OBJECT,1700,78757,33
KIDNAPPING,2800,78702,33
POSS SYNTHETIC MARIJUANA,1825,78758,33
INJURY TO ELDERLY PERSON,2012,78748,33
BURG OF RES - FAM/DATING ASLT,500,78752,33
ONLINE IMPERSONATION,2733,78702,33
BREACH OF COMPUTER SECURITY,1109,78752,33
CRED CARD ABUSE - OTHER,1106,78728,33
DWI - DRUG RECOGNITION EXPERT,2103,78748,33
CRIMINAL MISCHIEF-NO SUSPECT,1400,78759,33
STALKING,2710,78750,33
HINDERING APPREHENSION,2709,78744,33
CRED CARD ABUSE BY FORGERY,1005,78660,33
BURGLARY OF VEH-NO SUSPECT/FU,601,78722,33
POSS CONTROLLED SUB/NARCOTIC,1800,78742,33
LITTERING,3216,78721,33
THEFT FROM AUTO,603,78719,33
POSS OF ALCOHOL-AGE 16 & UNDER,2200,78745,33
THEFT-NO SUSPECT/FOLLOWUP,600,78748,33
ATT AUTO THEFT,701,78753,33
VIOL CITY ORDINANCE - WRECKER,3720,78754,33
POSS DANG DRUG,1810,78757,33
FAIL TO REGISTER- MINOR VIC,8172,78701,33
HARASSMENT OF A PUBLIC SERVANT,2731,78741,33
INJURY DISABLED INDIVIDUAL,2013,78704,33
ROBBERY BY THREAT,305,78721,33
DUMPING REFUSE NEAR HIGHWAY,3306,78724,33
FRAUD-CARD SKIMMER,1112,78745,33
VIOL GLASS CONTAINER,3210,78704,33
FELONY ENHANCEMENT/ASSLT W/INJ,909,78750,33
BURGLARY OF COIN-OP MACHINE,602,78726,33
DOC ABUSIVE LANGUAGE,2401,78752,33
HARASSMENT ONLINE,2732,78704,33
BURGLARY OF COIN-OP MACHINE,602,78735,33
DUMPING REFUSE NEAR HIGHWAY,3306,78758,33
CRIMINAL MISCHIEF BY ARSON,802,78758,33
URINATING IN PUBLIC PLACE,3212,78721,33
FORGERY OF IDENTIFICATION,1004,78753,33
DOC OFFENSIVE GESTURE,2402,78753,33
VIOL CITY ORDINANCE - CURFEW,3213,78731,33
ONLINE IMPERSONATION,2733,78723,33
COUNTERFEITING,1006,78754,33
CHILD CUSTODY INTERFERE,2001,78719,33
FALSE STATEMENT -OBTAIN CREDIT,1105,78757,32
FALSE ALARM OR REPORT,2700,78757,32
FORGERY BY ALTERATION,1001,78741,32
DOC DISPLAY GUN/DEADLY PUB PLC,2409,78757,32
ATT AUTO THEFT,701,78752,32
RETALIATION,3104,78721,32
FORCED SODOMY,1716,78705,32
DOC EXPOSURE,2411,78746,32
TERRORISTIC THREAT-FAM/DAT VIO,2704,78705,32
FAILURE TO REG AS SEX OFFENDER,1799,78724,32
INJURY TO CHILD,2011,78759,32
INJURY DISABLED INDIVIDUAL,2013,78723,32
IMPERSONATING PUBLIC SERVANT,2905,78745,32
DOC EXPOSURE,2411,78703,32
THEFT-NO SUSPECT/FOLLOWUP,600,78741,32
BREACH OF COMPUTER SECURITY,1109,78703,32
RECKLESS DAMAGE,1401,78719,32
MURDER,100,78701,32
DEADLY CONDUCT,408,78617,32
VIOL OF EMERG PROTECTIVE ORDER,3008,78747,32
VIOL OF EMERG PROTECTIVE ORDER,3008,78726,32
THEFT OF METAL,619,78756,32
POSS OF PROHIBITED WEAPON,1503,78721,32
DUI - AGE 17 TO 20,2107,78749,32
POSS OF ALCOHOL - AGE 17 TO 20,2209,78757,32
